ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedonTime_YN,
1107,A,Flight,3,3,213,6,low,F,17,2424,1,0.662219453
1108,B,Flight,3,1,211,2,low,F,45,3332,1,0.117245212
1109,C,Flight,4,4,232,3,medium,F,61,,1,0.392286588
1110,F,Flight,4,3,143,2,high,M,39,1727,1,0.0955194
1111,D,Flight,5,1,196,3,medium,M,24,2957,1,0.607505153
1112,F,Flight,4,1,150,6,medium,F,42,1070,1,0.949521375
1113,A,Flight,5,1,222,3,high,M,21,2351,1,0.91950988
1114,B,Ship,3,2,203,3,high,M,3,2791,1,0.152770696
1115,C,Ship,5,2,178,3,medium,M,60,1176,1,0.660134852
1116,F,Ship,4,2,272,2,low,M,21,3271,1,0.821484323
1117,D,Ship,4,2,182,3,low,M,58,3943,1,0.175406764
1118,F,Ship,4,4,205,3,low,F,11,2255,1,0.500112876
1119,A,Ship,3,2,171,3,medium,M,11,1282,1,0.188481882
1120,B,Ship,4,1,172,2,low,M,48,1993,1,0.120741317
1121,C,Ship,3,2,210,2,medium,M,30,3928,1,0.065204118
1122,F,Ship,2,1,264,3,medium,M,10,3409,1,0.965508839
1123,D,Ship,4,1,181,4,low,F,46,,1,0.392013204
1124,F,Ship,3,5,240,3,medium,F,54,,1,0.373756406
1125,A,Ship,4,4,140,4,medium,F,46,1442,1,0.886444887
1126,B,Ship,6,4,283,5,medium,F,35,2686,1,0.729213601
1127,C,Ship,4,3,263,4,medium,M,23,2960,1,0.50124448
1128,F,Ship,4,4,136,3,high,F,35,1234,1,0.095969528
1129,D,Ship,4,4,145,4,low,F,35,1210,1,0.85569044
1130,F,Ship,3,3,162,2,low,F,42,,1,0.415753792
1131,A,Ship,5,1,230,6,low,F,60,2067,1,0.510036181
1132,B,Ship,3,3,148,5,medium,M,61,1452,1,0.15752178
1133,C,Ship,3,3,175,3,high,F,45,1212,1,0.206310818
1134,F,Ship,4,2,227,2,high,M,35,3583,1,0.684328978
1135,D,Ship,4,1,177,4,low,F,13,1569,1,0.113192391
1136,F,Ship,6,1,257,3,medium,M,60,3416,1,0.543824704
1137,A,Ship,5,5,198,5,medium,M,36,2803,1,0.819596725
1138,B,Ship,3,5,251,3,medium,M,59,3651,1,0.993274185
1139,C,Ship,5,5,158,3,medium,F,47,1246,1,0.787316445
1140,F,Ship,4,5,171,6,medium,F,27,1840,1,0.798689288
1141,D,Ship,4,1,260,2,low,M,2,2980,1,0.222926279
1142,F,Ship,3,4,263,3,low,M,42,2992,1,0.920740701
1143,A,Ship,6,3,269,2,high,M,43,2300,1,0.845389576
1144,B,Ship,3,3,224,2,low,F,37,3220,1,0.997873213
1145,C,Ship,4,1,118,5,low,M,50,1413,1,0.864287271
1146,F,Ship,5,1,186,10,low,M,64,2529,1,0.190305425
1147,D,Ship,5,5,191,2,high,M,34,2708,1,0.134547651
1148,F,Ship,5,5,174,6,medium,F,26,,1,0.41631475
1149,A,Ship,3,1,140,2,medium,F,55,1339,1,0.779778623
1150,B,Ship,4,2,193,2,high,F,48,2371,1,0.300865538
1151,C,Ship,3,4,148,10,high,F,12,1779,1,0.454814093
1152,F,Ship,2,2,176,5,low,F,55,,1,0.405831482
1153,D,Ship,4,1,135,10,medium,M,35,1989,1,0.305576731
1154,F,Ship,6,5,154,10,medium,F,48,1990,1,0.959715188
1155,A,Ship,4,5,143,8,low,M,44,1756,1,0.680070421
1156,B,Ship,4,3,173,2,low,F,10,1179,1,0.799438555
1157,C,Ship,4,5,262,3,medium,F,38,3139,1,0.035543605
1158,F,Ship,4,1,171,3,low,F,58,1516,1,0.922604761
1159,D,Ship,4,3,246,2,low,M,55,2387,1,0.628396228
1160,F,Ship,3,4,266,2,high,F,55,2779,1,0.784779751
1161,A,Ship,4,5,127,8,low,M,39,,1,0.433068534
1162,B,Ship,5,2,167,8,low,M,28,,1,0.368832454
1163,C,Ship,4,2,187,4,medium,M,37,2200,1,0.877313414
1164,F,Ship,3,2,162,2,low,F,54,,1,0.440348661
1165,D,Ship,5,2,230,6,low,M,10,,1,0.358551435
1166,F,Ship,3,4,148,5,medium,F,50,1540,1,0.522737236
1167,A,Ship,3,3,175,3,high,F,55,1229,1,0.649101195
1168,B,Ship,4,1,227,2,high,M,60,3080,1,0.945826569
1169,C,Ship,4,3,177,4,low,M,38,,1,0.44354514
1170,F,Ship,6,1,257,3,medium,M,37,2239,1,0.021250731
1171,D,Ship,5,1,198,5,medium,F,49,3187,1,0.55440805
1172,F,Ship,3,1,251,3,medium,F,18,2240,1,0.037900666
1173,A,Ship,5,2,158,3,medium,M,16,1499,1,0.999868705
1174,B,Ship,4,3,171,6,medium,F,9,1909,1,0.345045248
1175,C,Ship,4,3,260,2,low,M,38,2526,1,0.192334916
1176,F,Ship,3,1,263,3,low,M,25,3689,1,0.845395417
1177,D,Ship,6,4,269,2,high,M,47,4000,1,0.248482813
1178,F,Ship,3,2,224,2,low,F,49,3749,1,0.019436068
1179,A,Ship,4,3,118,5,low,F,15,1601,1,0.34740751
1180,B,Ship,5,4,186,10,low,F,24,3621,1,0.627034211
1181,C,Ship,5,2,191,2,high,F,6,2059,1,0.884004266
1182,F,Ship,5,1,174,6,medium,M,44,1635,1,0.101643475
1183,D,Ship,3,3,140,2,medium,M,55,1847,1,0.325325504
1184,F,Ship,4,1,193,2,high,M,37,3510,1,0.577665236
1185,A,Ship,3,5,148,10,high,F,35,1597,1,0.316643357
1186,B,Ship,2,3,176,5,low,M,29,1254,1,0.737968787
1187,C,Ship,4,4,135,10,medium,F,57,1361,1,0.23542726
1188,F,Ship,6,5,154,10,medium,F,14,1204,1,0.85457063
1189,D,Ship,4,5,143,8,low,M,38,1095,1,0.133947246
1190,F,Ship,4,2,173,2,low,F,30,1336,1,0.139275839
1191,A,Ship,4,3,262,3,medium,M,46,2904,1,0.756414636
1192,B,Ship,4,5,171,3,low,F,21,1683,1,0.174249603
1193,C,Ship,4,4,246,2,low,M,11,2282,1,0.34566862
1194,F,Ship,3,4,266,2,high,M,49,2643,1,0.001899289
1195,D,Ship,4,1,127,8,low,F,12,1519,1,0.700913985
1196,F,Ship,5,5,167,8,low,M,44,1547,1,0.298669905
1197,A,Ship,4,2,187,4,medium,M,49,3225,1,0.349951795
1198,B,Ship,6,2,294,4,low,M,35,1625,1,0.235812185
1199,C,Ship,4,2,158,4,low,F,13,1785,1,0.661504492
1200,F,Ship,6,5,135,5,low,M,55,1078,1,0.200095084
1201,D,Ship,4,2,238,3,low,F,28,1915,1,0.100216776
1202,F,Ship,6,1,213,3,low,M,63,1548,1,0.944435515
1203,A,Ship,4,4,237,2,medium,M,21,1495,1,0.177713716
1204,B,Ship,4,1,257,3,low,M,47,1308,1,0.16402143
1205,C,Ship,5,2,198,5,low,M,65,1994,1,0.555797486
1206,F,Ship,3,3,218,3,medium,M,48,3425,1,0.047396847
1207,D,Road,4,4,236,4,low,M,65,2280,1,0.291298533
1208,F,Road,3,1,100,3,low,F,17,,1,0.400040698
1209,A,Road,3,1,154,2,low,F,44,,1,0.417277827
1210,B,Road,5,1,238,3,low,M,32,3832,1,0.768618289
1211,C,Road,5,5,128,5,low,M,34,1008,1,0.766661926
1212,F,Road,4,1,140,3,medium,M,9,1431,1,0.892876257
1213,D,Road,2,4,187,3,low,M,50,3878,1,0.737522006
1214,F,Road,4,3,256,3,low,F,15,3155,1,0.958717483
1215,A,Road,3,3,270,4,low,F,18,2397,1,0.253620654
1216,B,Road,4,2,202,2,low,F,45,3008,1,0.868552572
1217,C,Road,3,5,256,3,low,F,62,2971,1,0.025671209
1218,F,Road,4,3,135,2,medium,F,37,1597,1,0.116705432
1219,D,Road,4,4,184,4,medium,M,8,2306,1,0.610618023
1220,F,Road,5,5,169,4,medium,F,23,1922,1,0.67802929
1221,A,Road,3,2,178,4,medium,F,48,1079,1,0.960707269
1222,B,Road,4,5,265,3,medium,F,41,3101,1,0.213380778
1223,C,Road,4,3,217,2,medium,M,22,2138,1,0.262249407
1224,F,Road,3,1,258,2,medium,M,11,2791,1,0.091371034
1225,D,Road,3,3,218,2,medium,M,9,2069,1,0.882027319
1226,F,Road,3,1,135,2,medium,M,7,1316,1,0.829242166
1227,A,Road,3,3,150,2,medium,F,61,1053,1,0.104793744
1228,B,Road,3,4,200,3,medium,F,49,2942,1,0.998120071
1229,C,Flight,6,1,136,3,high,M,12,1592,1,0.734828749
1230,F,Flight,3,2,119,2,low,M,32,1791,1,0.130701588
1231,D,Flight,5,4,212,6,medium,F,5,2041,1,0.528086923
1232,F,Flight,4,2,272,2,low,M,57,2377,1,0.792381947
1233,A,Flight,4,2,166,3,low,M,5,1610,1,0.902153901
1234,B,Flight,3,5,176,3,high,F,1,1982,1,0.111240765
1235,C,Flight,2,3,280,4,low,M,17,3555,1,0.954333634
1236,F,Flight,3,2,169,2,medium,F,19,1922,1,0.472747956
1237,D,Flight,3,1,231,6,medium,F,64,3627,1,0.57261154
1238,F,Flight,4,1,140,2,low,F,5,1274,1,0.508261809
1239,A,Flight,3,5,183,3,medium,F,44,3158,1,0.507836965
1240,B,Flight,4,5,157,3,medium,M,28,1557,1,0.585766912
1241,C,Flight,4,5,210,4,medium,F,28,,1,0.436212605
1242,F,Flight,4,5,227,4,low,F,20,2217,1,0.484717465
1243,D,Flight,4,1,250,2,medium,M,45,3021,1,0.877059533
1244,F,Flight,6,3,171,5,high,M,61,1947,1,0.934329703
1245,A,Flight,4,2,136,2,medium,F,17,1285,1,0.455169384
1246,B,Flight,4,3,258,3,medium,M,58,2579,1,0.043999434
1247,C,Flight,6,2,271,5,low,M,14,2514,1,0.273673941
1248,F,Flight,4,4,197,3,low,F,29,2915,1,0.275810579
1249,D,Flight,5,2,217,3,low,M,27,2999,1,0.95627745
1250,F,Flight,4,1,247,3,low,F,9,2414,1,0.13913924
1251,A,Ship,4,4,192,4,medium,F,46,3599,1,0.0139068
1252,B,Ship,3,1,254,3,medium,M,6,3496,1,0.986646241
1253,C,Ship,5,5,226,3,medium,F,65,3840,1,0.036970376
1254,F,Ship,5,3,197,2,low,F,48,2481,1,0.932770961
1255,D,Ship,3,1,203,4,medium,M,12,2779,1,0.504832278
1256,F,Ship,4,5,196,3,medium,M,16,3722,1,0.133711044
1257,A,Ship,2,2,180,3,low,M,33,,1,0.378093425
1258,B,Ship,3,5,219,3,low,F,54,3145,1,0.344866468
1259,C,Ship,4,4,266,2,low,F,15,3425,1,0.926387257
1260,F,Ship,5,1,144,2,low,F,20,1082,1,0.606265429
1261,D,Ship,5,3,197,2,low,F,12,3400,1,0.924404459
1262,F,Ship,4,1,258,3,medium,F,4,3686,1,0.679456505
1263,A,Ship,3,3,187,3,low,F,63,2481,1,0.063227608
1264,B,Ship,5,4,184,3,low,M,9,3332,1,0.661137272
1265,C,Ship,4,3,142,2,medium,F,63,1615,1,0.235371843
1266,F,Ship,3,5,283,5,low,F,50,2848,1,0.553175586
1267,D,Ship,4,2,221,2,low,F,13,3097,1,0.883229722
1268,F,Ship,3,2,233,5,low,M,44,2010,1,0.873763464
1269,A,Ship,6,4,129,5,low,F,58,1463,1,0.915708769
1270,B,Ship,3,4,154,2,medium,F,43,1542,1,0.51019746
1271,C,Ship,4,4,158,3,medium,M,63,1387,1,0.82192733
1272,F,Ship,5,3,236,6,medium,M,9,3715,1,0.561375829
1273,D,Ship,3,5,257,3,low,F,52,2170,1,0.483330408
1274,F,Ship,4,5,160,3,medium,M,50,1511,1,0.911803944
1275,A,Ship,4,2,255,4,low,F,62,3198,1,0.007033837
1276,B,Ship,4,3,210,2,medium,M,22,3124,1,0.147044171
1277,C,Ship,5,3,169,4,medium,F,37,1290,1,0.542500535
1278,F,Ship,3,1,275,2,high,F,1,2597,1,0.194889249
1279,D,Ship,3,2,185,3,medium,M,47,2467,1,0.630600401
1280,F,Ship,3,2,213,2,medium,F,54,2809,1,0.948322757
1281,A,Ship,3,4,179,3,high,M,57,,1,0.423019161
1282,B,Ship,3,3,110,3,low,M,7,1235,1,0.902578945
1283,C,Ship,3,4,216,3,low,F,41,2042,1,0.773168949
1284,F,Ship,4,1,267,3,medium,M,37,2716,1,0.017342021
1285,D,Ship,5,4,214,2,medium,F,1,3709,1,0.204098876
1286,F,Ship,5,2,196,3,low,M,38,2211,1,0.875027462
1287,A,Ship,2,2,192,2,low,F,8,3127,1,0.182238316
1288,B,Ship,4,1,191,3,low,M,4,2724,1,0.627536524
1289,C,Ship,3,4,222,3,medium,M,57,2714,1,0.59723798
1290,F,Ship,3,3,141,3,medium,M,10,1751,1,0.256337101
1291,D,Ship,4,3,242,3,low,M,1,2808,1,0.530821798
1292,F,Ship,3,4,212,2,high,M,13,2733,1,0.10550866
1293,A,Ship,5,5,133,3,medium,F,21,1648,1,0.741477316
1294,B,Ship,5,5,254,5,low,F,35,2508,1,0.922751541
1295,C,Ship,4,3,190,3,medium,F,2,2125,1,0.984017777
1296,F,Ship,5,3,185,3,low,M,25,2503,1,0.306530067
1297,D,Ship,3,5,191,3,medium,M,54,3890,1,0.204303203
1298,F,Ship,4,4,158,2,medium,M,15,1030,1,0.635142339
1299,A,Ship,3,5,171,3,low,F,49,1333,1,0.795933778
1300,B,Ship,3,4,160,2,medium,M,32,1085,1,0.29917232
1301,C,Ship,4,2,235,3,low,F,21,3088,1,0.077068046
1302,F,Ship,4,4,247,3,low,M,55,2361,1,0.02518715
1303,D,Ship,4,1,152,3,medium,F,65,1706,1,0.215889231
1304,F,Ship,4,3,138,3,medium,M,15,1080,1,0.564602486
1305,A,Ship,5,4,270,2,high,F,43,2971,1,0.055398292
1306,B,Ship,6,1,193,4,medium,M,8,2952,1,0.263397085
1307,C,Ship,4,3,252,2,medium,M,1,2336,1,0.497527709
1308,F,Ship,3,1,203,2,medium,F,51,3976,1,0.913372047
1309,D,Ship,5,4,141,3,medium,M,64,1677,1,0.016914208
1310,F,Ship,4,3,197,3,low,F,20,,1,0.40665297
1311,A,Ship,6,2,142,3,low,F,54,1332,1,0.127482224
1312,B,Ship,3,4,161,3,low,F,25,1048,1,0.877703655
1313,C,Ship,2,2,139,3,medium,F,23,1283,1,0.744602346
1314,F,Ship,2,5,186,2,low,M,17,3896,1,0.323714768
1315,D,Ship,5,3,190,3,low,M,52,2611,1,0.143775418
1316,F,Ship,5,3,186,4,low,M,23,3981,1,0.927357344
1317,A,Ship,3,2,181,3,low,F,29,2164,1,0.093999695
1318,B,Ship,4,4,111,6,low,M,8,1145,1,0.991876038
1319,C,Ship,2,3,159,3,medium,M,62,,1,0.443185815
1320,F,Ship,4,3,205,3,medium,F,44,2291,1,0.75842241
1321,D,Ship,5,1,134,3,high,F,12,1775,1,0.157780497
1322,F,Ship,3,1,191,3,low,F,4,,1,0.411824362
1323,A,Ship,2,3,141,2,medium,F,28,1624,1,0.620931408
1324,B,Ship,5,1,225,2,medium,M,31,3454,1,0.201380566
1325,C,Ship,3,5,171,3,medium,F,24,1300,1,0.96423076
1326,F,Ship,4,3,286,5,low,M,37,2938,1,0.67817849
1327,D,Ship,3,1,255,5,low,F,1,2713,1,0.828168215
1328,F,Ship,4,5,113,6,medium,M,25,1538,1,0.21067837
1329,A,Ship,5,1,201,3,medium,F,65,2488,1,0.485082609
1330,B,Ship,3,1,184,3,medium,F,49,2823,1,0.162249627
1331,C,Ship,3,1,199,2,medium,F,18,3346,1,0.161347488
1332,F,Ship,4,4,255,2,medium,M,29,2267,1,0.456461787
1333,D,Ship,4,5,269,4,medium,M,60,3456,1,0.124653669
1334,F,Ship,5,5,260,2,low,F,23,3065,1,0.604836007
1335,A,Ship,3,1,198,4,medium,F,44,2848,1,0.176952362
1336,B,Ship,4,2,256,2,medium,M,10,,1,0.374834223
1337,C,Ship,3,1,140,4,low,M,27,1184,1,0.259206812
1338,F,Ship,3,4,165,4,medium,F,7,1627,1,0.302502037
1339,D,Ship,3,3,144,3,low,M,1,1274,1,0.970750601
1340,F,Ship,2,2,240,3,low,M,53,2980,1,0.774265521
1341,A,Ship,4,2,183,4,low,M,15,3632,1,0.775116847
1342,B,Ship,5,3,201,2,low,M,4,3757,1,0.945612613
1343,C,Ship,4,4,216,2,medium,F,6,3255,1,0.543928854
1344,F,Road,4,5,218,3,low,M,25,2682,1,0.650018648
1345,D,Road,3,4,147,3,low,F,2,1307,1,0.828187153
1346,F,Road,3,5,264,2,medium,F,1,3947,1,0.265188036
1347,A,Road,4,4,145,3,low,F,43,1651,1,0.499662657
1348,B,Road,3,5,264,6,low,M,30,,1,0.427659229
1349,C,Road,4,5,253,2,medium,F,43,2589,1,0.18054306
1350,F,Road,2,4,257,6,low,M,5,3986,1,0.620686771
1351,D,Road,4,1,202,3,high,M,59,2563,1,0.991397677
1352,F,Road,5,5,245,4,medium,F,12,2225,1,0.6373441
1353,A,Road,4,1,162,2,low,F,47,1540,1,0.046791139
1354,B,Road,3,2,158,3,medium,F,39,1512,1,0.039107109
1355,C,Road,3,1,182,3,medium,F,40,3536,1,0.942602569
1356,F,Road,3,4,218,3,medium,F,4,3534,1,0.722125932
1357,D,Road,4,5,201,3,medium,M,41,3563,1,0.615377074
1358,F,Road,5,1,184,4,medium,F,38,,1,0.426473171
1359,A,Road,4,1,241,3,medium,F,61,3812,1,0.581224587
1360,B,Road,5,5,263,2,medium,M,59,3238,1,0.166239934
1361,C,Road,5,5,230,2,medium,F,36,3381,1,0.046453033
1362,F,Road,3,4,240,3,low,F,28,2356,1,0.882434475
1363,D,Road,4,5,233,3,medium,F,43,3856,1,0.682652351
1364,F,Road,4,3,237,2,medium,M,22,2912,1,0.118914406
1365,A,Road,5,4,144,3,low,F,59,1178,1,0.889567151
1366,B,Flight,3,1,167,3,low,M,1,1252,1,0.213418515
1367,C,Flight,4,5,138,3,low,F,64,1708,1,0.753125307
1368,F,Flight,5,3,165,2,medium,M,51,,1,0.440214417
1369,D,Flight,4,3,247,4,low,F,19,,1,0.42054285
1370,F,Flight,3,2,152,6,low,F,7,1674,1,0.874208368
1371,A,Flight,5,3,199,4,low,F,24,3473,1,0.460195227
1372,B,Flight,5,4,268,3,medium,M,6,2206,1,0.516154068
1373,C,Flight,4,5,150,2,low,F,30,1782,1,0.182633498
1374,F,Flight,5,5,190,4,medium,F,47,3644,1,0.480238998
1375,D,Flight,4,3,153,4,low,M,36,1171,1,0.572225391
1376,F,Flight,4,2,185,3,low,M,27,3410,1,0.81296547
1377,A,Flight,5,1,274,3,medium,M,58,2098,1,0.595589715
1378,B,Flight,4,3,258,2,high,M,11,2252,1,0.917024547
1379,C,Flight,3,1,110,3,low,F,54,1155,1,0.217690689
1380,F,Flight,3,5,240,6,low,M,21,3559,1,0.720103683
1381,D,Flight,6,5,118,2,low,F,6,1726,1,0.532536085
1382,F,Flight,3,2,243,2,low,F,38,3850,1,0.908316244
1383,A,Flight,6,2,225,6,low,M,44,2057,1,0.625952618
1384,B,Flight,3,2,238,4,medium,F,49,3179,1,0.515762908
1385,C,Flight,4,4,127,5,low,F,16,,1,0.351176263
1386,F,Flight,3,5,166,2,low,M,45,1665,1,0.130298899
1387,D,Flight,3,1,180,3,low,F,29,1414,1,0.510991021
1388,F,Ship,4,4,161,2,medium,M,59,1941,1,0.480442335
1389,A,Ship,5,1,230,3,low,F,43,2994,1,0.055484353
1390,B,Ship,5,3,167,3,low,F,51,1573,1,0.671397807
1391,C,Ship,4,5,186,3,low,F,16,2693,1,0.676934346
1392,F,Ship,4,4,150,3,high,M,9,1620,1,0.133400214
1393,D,Ship,4,1,253,7,medium,M,37,2955,1,0.940767962
1394,F,Ship,5,2,239,2,medium,F,59,2897,1,0.348191362
1395,A,Ship,6,2,294,4,low,M,57,1265,1,0.933356309
1396,B,Ship,4,2,158,4,low,F,45,1758,1,0.62271502
1397,C,Ship,6,3,135,5,low,F,20,1266,1,0.821882349
1398,F,Ship,4,2,238,3,low,F,28,1040,1,0.924047495
1399,D,Ship,6,3,213,3,low,M,17,1656,1,0.863646486
1400,F,Ship,5,2,165,2,medium,F,18,1918,1,0.305880675
1401,A,Ship,4,3,247,4,low,M,16,2362,1,0.62918978
1402,B,Ship,3,5,152,6,low,F,32,1158,1,0.237011127
1403,C,Ship,5,4,199,4,low,M,24,,1,0.435337087
1404,F,Ship,5,2,268,3,medium,F,41,3716,1,0.159642601
1405,D,Ship,4,3,150,2,low,M,51,1491,1,0.848222448
1406,F,Ship,5,1,190,4,medium,M,24,3446,1,0.134064498
1407,A,Ship,4,1,153,4,low,M,7,,1,0.366099202
1408,B,Ship,4,4,185,3,low,M,13,2080,1,0.896724136
1409,C,Ship,5,3,274,3,medium,F,54,2905,1,0.036742226
1410,F,Ship,4,5,258,2,high,M,5,3512,1,0.828283372
1411,D,Ship,3,4,110,3,low,F,55,1281,1,0.537112766
1412,F,Ship,3,2,240,6,low,F,26,2683,1,0.115137665
1413,A,Ship,6,2,118,2,low,F,2,1744,1,0.948198391
1414,B,Ship,3,4,243,2,low,F,14,3693,1,0.190827817
1415,C,Ship,6,5,225,6,low,F,55,2052,1,0.954008289
1416,F,Ship,3,3,238,4,medium,M,57,3537,1,0.16996202
1417,D,Ship,4,3,127,5,low,F,5,1205,1,0.584402841
1418,F,Ship,3,3,166,2,low,F,45,1791,1,0.636180981
1419,A,Ship,3,5,180,3,low,M,6,1228,1,0.111312306
1420,B,Ship,4,5,161,2,medium,M,55,1457,1,0.692171894
1421,C,Ship,5,4,230,3,low,F,39,3989,1,0.45811815
1422,F,Ship,5,5,167,3,low,F,53,1564,1,0.306889534
1423,D,Ship,4,3,186,3,low,F,25,3851,1,0.232541839
1424,F,Ship,4,2,150,3,high,F,32,1689,1,0.301505493
1425,A,Ship,4,5,253,7,medium,F,11,3825,1,0.603397383
1426,B,Ship,5,2,239,2,medium,F,15,,1,0.417723765
1427,C,Ship,6,3,294,4,low,M,52,1667,1,0.831653293
1428,F,Ship,4,5,158,4,low,F,4,1595,1,0.533908782
1429,D,Ship,6,2,135,5,low,M,26,1585,1,0.272457744
1430,F,Ship,4,5,238,3,low,M,9,1724,1,0.269849778
1431,A,Ship,6,2,265,3,low,M,3,1904,1,0.942677634
1432,B,Ship,5,5,180,5,medium,M,35,1725,1,0.86534677
1433,C,Ship,7,2,229,3,low,F,43,1793,1,0.597186658
1434,F,Ship,3,2,176,3,low,M,51,1297,1,0.711078659
1435,D,Ship,3,5,172,2,medium,M,60,1840,1,0.347152595
1436,F,Ship,6,5,100,4,medium,F,3,1440,1,0.049930882
1437,A,Ship,4,3,142,6,low,M,6,,1,0.38717706
1438,B,Ship,4,3,153,3,medium,M,2,1095,1,0.213228933
1439,C,Ship,3,4,160,4,low,F,56,1408,1,0.749319621
1440,F,Ship,4,3,217,3,medium,F,16,3444,1,0.886198544
1441,D,Ship,3,2,273,3,low,M,41,,1,0.382463073
1442,F,Ship,3,4,133,3,low,M,17,1187,1,0.121351048
1443,A,Ship,3,4,155,4,low,M,54,1885,1,0.09242729
1444,B,Ship,5,3,184,4,medium,F,2,3798,1,0.982022279
1445,C,Ship,5,5,230,3,medium,M,43,3609,1,0.696477355
1446,F,Ship,3,4,254,3,high,M,53,3538,1,0.813291966
1447,D,Ship,4,5,108,6,medium,M,46,1882,1,0.203051216
1448,F,Ship,4,4,154,3,low,M,52,1367,1,0.518727339
1449,A,Ship,5,3,177,3,low,F,1,1916,1,0.766474045
1450,B,Ship,3,3,162,2,medium,M,65,1184,1,0.727496448
1451,C,Ship,3,4,285,6,low,F,27,2249,1,0.246971093
1452,F,Ship,3,2,257,3,low,F,6,3620,1,0.925250124
1453,D,Ship,4,5,143,3,low,F,48,1922,1,0.450538618
1454,F,Ship,6,3,223,6,medium,M,29,2980,1,0.786558978
1455,A,Ship,3,5,230,2,low,M,27,3840,1,0.692028439
1456,B,Ship,4,5,241,4,medium,M,58,2874,1,0.274216199
1457,C,Ship,3,5,156,3,medium,M,44,1424,1,0.175533901
1458,F,Ship,4,4,232,4,low,M,27,3436,1,0.61810851
1459,D,Ship,3,2,231,3,low,M,55,3952,1,0.991942344
1460,F,Ship,3,4,183,2,medium,F,52,2078,1,0.933544893
1461,A,Ship,4,1,240,3,low,M,50,2430,1,0.714314914
1462,B,Ship,4,4,218,2,medium,M,27,2824,1,0.72535507
1463,C,Ship,5,1,248,3,low,M,37,,1,0.358003482
1464,F,Ship,4,3,170,2,medium,F,33,1980,1,0.221383363
1465,D,Ship,3,2,226,3,low,M,11,3708,1,0.279923752
1466,F,Ship,4,3,232,3,low,M,11,2624,1,0.48344208
1467,A,Ship,4,1,192,3,low,F,15,3460,1,0.321991487
1468,B,Ship,3,5,250,4,low,F,11,3464,1,0.614929211
1469,C,Ship,5,5,224,3,medium,F,48,2298,1,0.339212416
1470,F,Ship,3,3,167,3,medium,F,42,1363,1,0.920539383
1471,D,Ship,2,3,123,2,medium,M,11,1383,1,0.338587842
1472,F,Ship,5,2,243,2,medium,F,4,3681,1,0.068268666
1473,A,Ship,4,3,233,2,low,F,45,2732,1,0.525200318
1474,B,Ship,3,3,201,2,high,M,36,3340,1,0.676124919
1475,C,Ship,3,1,230,2,medium,F,18,,1,0.351393107
1476,F,Ship,4,3,271,3,low,M,59,2996,1,0.515059884
1477,D,Ship,4,1,159,3,medium,M,13,1445,1,0.866559934
1478,F,Ship,3,3,249,3,low,M,55,3375,1,0.04522173
1479,A,Ship,3,4,137,3,medium,F,17,1212,1,0.070276057
1480,B,Ship,3,5,225,3,medium,M,8,3813,1,0.716985039
1481,C,Road,4,1,226,3,low,F,28,2211,1,0.944676824
1482,F,Road,4,4,174,3,low,M,49,1141,1,0.118469454
1483,D,Road,5,2,264,5,low,F,27,3118,1,0.988863713
1484,F,Road,4,4,151,3,medium,F,6,1930,1,0.242601731
1485,A,Road,3,1,180,2,low,F,65,1321,1,0.799907955
1486,B,Road,3,4,149,2,medium,F,37,1080,1,0.256439647
1487,C,Road,3,1,209,3,low,F,20,3181,1,0.045593136
1488,F,Road,6,1,219,6,low,F,10,2385,1,0.722647857
1489,D,Road,4,3,164,3,low,M,28,1880,1,0.272049513
1490,F,Road,3,1,268,3,medium,M,3,3040,1,0.910223723
1491,A,Road,4,4,204,4,medium,F,35,2513,1,0.607292417
1492,B,Road,5,5,226,3,medium,M,23,2626,1,0.910634091
1493,C,Road,5,1,105,5,low,M,1,1101,1,0.309064162
1494,F,Road,4,5,153,3,low,M,10,1183,1,0.338529772
1495,D,Road,3,5,192,2,medium,F,5,2339,1,0.912027084
1496,F,Road,4,3,199,2,low,F,28,2607,1,0.071810265
1497,A,Road,5,2,156,4,medium,M,39,1204,1,0.028773289
1498,B,Road,3,2,180,2,low,M,53,1853,1,0.629384808
1499,C,Road,4,5,162,2,medium,M,62,,1,0.386831222
1500,F,Road,5,5,284,6,low,M,9,3912,1,0.699967322
1501,D,Road,4,1,271,2,high,M,33,3269,1,0.658991984
1502,F,Road,3,1,269,2,medium,M,38,2195,1,0.868497832
1503,A,Flight,3,4,135,3,low,M,11,1740,1,0.033224099
1504,B,Flight,5,2,200,2,low,F,2,,1,0.44008204
1505,C,Flight,5,2,206,6,medium,M,23,2016,1,0.605881853
1506,F,Flight,4,2,229,4,low,F,32,3518,1,0.719932596
1507,D,Flight,5,3,267,3,low,M,48,3393,1,0.665176528
1508,F,Flight,4,1,135,2,medium,F,64,1471,1,0.620232181
1509,A,Flight,4,5,259,2,medium,M,15,2381,1,0.21351204
1510,B,Flight,3,3,223,2,medium,M,30,3622,1,0.630957721
1511,C,Flight,3,4,245,4,low,M,20,2534,1,0.185689057
1512,F,Flight,4,4,207,3,low,M,20,2637,1,0.774575522
1513,D,Flight,5,3,171,3,medium,M,62,1304,1,0.62382372
